word,Length,Syllables,Compound,Number of Vowels,Frequency,Silent Letters,Regular Plural,Irregular Plural,Syll/Vowels,Length/Syll,Vow/Length,PhonicLength,PL-L,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
mad,3,1,0,1,5.1,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sad,3,1,0,1,4.93,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bag,3,1,0,1,5.02,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rag,3,1,0,1,3.67,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tag,3,1,0,1,4.04,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jam,3,1,0,1,4.16,0,0,0,1,3,0.333333333,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ram,3,1,0,1,4.17,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
can,3,1,0,1,6.73,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fan,3,1,0,1,4.56,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
man,3,1,0,1,6.22,0,0,0,1,3,0.333333333,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pan,3,1,0,1,4.12,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ran,3,1,0,1,4.93,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
van,3,1,0,1,4.73,0,0,0,1,3,0.333333333,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cap,3,1,0,1,4.21,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
map,3,1,0,1,4.51,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nap,3,1,0,1,3.96,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rap,3,1,0,1,4.03,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tap,3,1,0,1,4.12,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bat,3,1,0,1,4.23,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cat,3,1,0,1,4.83,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hat,3,1,0,1,4.61,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mat,3,1,0,1,3.6,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rat,3,1,0,1,4.49,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hut,3,1,0,1,4.08,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
nut,3,1,0,1,4.1,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cod,3,1,0,1,3.45,0,0,0,1,3,0.333333333,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cup,3,1,0,1,4.73,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
car,3,1,0,1,5.68,0,0,0,1,3,0.333333333,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
gas,3,1,0,1,4.77,0,0,0,1,3,0.333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fax,3,1,0,1,3.83,0,0,0,1,3,0.333333333,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wax,3,1,0,1,3.8,0,0,0,1,3,0.333333333,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bed,3,1,0,1,5.27,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
red,3,1,0,1,5.17,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
leg,3,1,0,1,4.77,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
peg,3,1,0,1,3.37,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hen,3,1,0,1,3.59,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
men,3,1,0,1,5.5,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pen,3,1,0,1,4.4,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ben,3,1,0,1,4.78,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
jet,3,1,0,1,4.1,0,0,0,1,3,0.333333333,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
pet,3,1,0,1,4.21,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
wet,3,1,0,1,4.61,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
vet,3,1,0,1,3.76,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
kid,3,1,0,1,5.42,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
lid,3,1,0,1,3.69,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
big,3,1,0,1,5.78,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
dig,3,1,0,1,4.54,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pig,3,1,0,1,4.64,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
bin,3,1,0,1,4.09,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
fin,3,1,0,1,3.68,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pin,3,1,0,1,4.07,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tin,3,1,0,1,4.04,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hip,3,1,0,1,4.32,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
lip,3,1,0,1,4.01,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tip,3,1,0,1,4.4,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
zip,3,1,0,1,3.82,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
six,3,1,0,1,5.24,0,0,0,1,3,0.333333333,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
rod,3,1,0,1,3.99,0,0,0,1,3,0.333333333,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
box,3,1,0,1,4.91,0,0,0,1,3,0.333333333,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fox,3,1,0,1,4.2,0,0,0,1,3,0.333333333,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cog,3,1,0,1,2.83,0,0,0,1,3,0.333333333,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dog,3,1,0,1,5.34,0,0,0,1,3,0.333333333,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
fog,3,1,0,1,3.88,0,0,0,1,3,0.333333333,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hog,3,1,0,1,3.53,0,0,0,1,3,0.333333333,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
log,3,1,0,1,3.93,0,0,0,1,3,0.333333333,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cop,3,1,0,1,4.86,0,0,0,1,3,0.333333333,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hop,3,1,0,1,4.38,0,0,0,1,3,0.333333333,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mop,3,1,0,1,3.58,0,0,0,1,3,0.333333333,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pop,3,1,0,1,4.65,0,0,0,1,3,0.333333333,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
top,3,1,0,1,5.14,0,0,0,1,3,0.333333333,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dot,3,1,0,1,3.89,0,0,0,1,3,0.333333333,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hot,3,1,0,1,5.27,0,0,0,1,3,0.333333333,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pot,3,1,0,1,4.42,0,0,0,1,3,0.333333333,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cub,3,1,0,1,3.47,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
pub,3,1,0,1,3.99,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tub,3,1,0,1,3.9,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
mud,3,1,0,1,4.13,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
bug,3,1,0,1,4.26,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hug,3,1,0,1,4.36,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
jug,3,1,0,1,3.13,0,0,0,1,3,0.333333333,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
mug,3,1,0,1,3.73,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
rug,3,1,0,1,3.74,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
gum,3,1,0,1,4.05,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
pup,3,1,0,1,3.39,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
bun,3,1,0,1,3.73,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
gun,3,1,0,1,5.22,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
nun,3,1,0,1,3.87,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sun,3,1,0,1,5.02,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
bus,3,1,0,1,4.91,0,0,0,1,3,0.333333333,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cats,4,1,0,1,4.83,0,1,0,1,4,0.25,3,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
